method,text,predicted,actual
Baseline,nako may issue si binay ?? ????,1,0
Baseline,"[mention] nognog, pandak, may nagawa, 'yan si binay lol",1,0
Baseline,[mention] no wonder kasama sya ni binay ??????,1,0
Baseline,"""sino mga hindi nagpasa ng hw?"" [jejomar binay voice] aba kung makapag bintang ka akala mo ako ay nahatulan na",1,0
Baseline,i don't get why people would actually vote binay and roxas over mds. please enlighten me!!!! i don't see any aspect where they outweigh mds,1,0
Baseline,sabi ni roxas ang binoto nya daw ay si duterte pero paglabas ng resibo pangalan nya yung lumabas ??????,1,0
Baseline,pangatlo na si roxas ?????? pero wag pakampante #halalan2016,1,0
Baseline,sa lahat ng mga team walang ipon diyan alam nyo na kung sino takbuhan nyo si binay! buti pa ang nognog... [url],1,0
Baseline,when pnoy and mar roxas talk about democracy ??????,1,0
Baseline,galawang binay talaga ohh,1,0
Baseline,"binay-marcos, frontrunners in the recent surveys... oh may gahd! nakakatakot ??",1,0
Baseline,"roxas, wala na kaming pag asa kay miriam baka agawin mo pa din yung posisyon kay duterte? ????",1,0
Baseline,"""kung nagpasok ka ng contraband sa airport, paano naging problema ng gobyerno yon?"" - mar roxas #tanimbala pano kaya pag naging pres. 'to???",1,0
Baseline,mar roxas' ad is on point! ????,1,0
Baseline,#roxasrobredo2016 get limlingan; your worries will be gone.,1,0
Baseline,new campaign ad of mar roxas omg,1,0
Baseline,medyo unrealistic ata pinagsasabi ki binay,1,0
Baseline,trillanes quickly shattered the supposed mountain of defence from binay ads. which turns out to be evidence against binay! #politicsph,1,0
Baseline,maglalabasan nanaman mga picture ni binay dyan. buti sana kung iboboto niyo o bumoboto na kayo. hahaha.,1,0
Baseline,"buti pa si binay may nagawa na (daw), ako wala pa rin. ??????",1,0
Baseline,parang lugi pa yung iba sa nangunguna tangina buti nga ayan eh hindi si binay o roxas,1,0
Baseline,"dear [mention]: super touched akey. sabi nga ni a, baka mapaboto kami kay binay sa pinaggagagawa mo. love, santa ethelia",1,0
Baseline,"mga mahistrado ng supreme court, balik session na matapos ang halos 1 buwan na recess; kaso ni mayor junjun binay, tatalakayin i via...",1,0
Baseline,??????,1,0
Baseline,sana ang pangalan na lang ng nanay ni duterte at ni roxas ay martha para wala na pong away,1,0
Baseline,"wala pang 15 seconds na pormal magsimula yung oras ni poe, binanggit na agad nya yung tatay nya. #pilipinasdebate2016",1,0
Baseline,"bakit dahil kay binay, libo-libong kabataan ang nakapag-aral ng libre. yan si binay",1,0
Baseline,bumalik sa pangalawang pwesto si mar roxas #ilovegmanetwork #eleksyon2016 kapusobrigade,1,0
Baseline,"inubos mo daw kase pera, tol. hahahahaha binay!",1,0
Baseline,daniels cool ng name ang dami hahaha joke. anong masasabi mo sa tvc ni binay?,1,0
Baseline,grace poe's ad abt respecting women is too dramatic but it has no substance. what policies are she proposing to help address women's issues?,1,0
Baseline,"pagsakripisyo ni mar para manatili ang demokrasya, decency at rule of law sa bansa country first - mar roxas",1,0
Baseline,bakit? whatevs basta kami #onlybinay lang! bait sa mga poor eh :) vp binay for the win! [url],1,0
Baseline,"at this point, you may have to do another mar roxas, mar roxas.",1,0
Baseline,look: 'binay' sign ala hollywood rises on banaue rice terraces [url] ...just take it down! epal tong si nognog,1,0
Baseline,napatrending si binay ah,1,0
Baseline,mar roxas po.,1,0
Baseline,the best yung kay binay! ahahaha [url],1,0
Baseline,[mention] mali. binay! bwahahahahahahahahahahahahahahahahahahaha,1,0
Baseline,"""pag ako nanalo, hu u ka sakin."" ~ binay to mar #pilipinasdebates2016",1,0
Baseline,kinakabahan na si papa kasi pang number 3 si grace poe hahahhahahah ??????,1,0
Baseline,ang sakit sa puso to see mds losing. mas masaklap e mas mataas pa si roxas at binay. at pasok sa top12 si pacquiao. #halalan2016,1,0
Baseline,rt [mention]: birthday ni vp binay today. ka-birthday niya si lola babah. #aldublastchance,1,0
Baseline,ang president ko ay si mar roxas. ishare mo to sa 25 na tao at magkakaron ka ng sobre. wag kang tumawa yung kapitbahay ko meron na. lol,1,0
Baseline,only binay :),1,0
Baseline,"dear mar roxas &amp; lp, u sound as if ur begging people to vote u. didn't get my sympathy though.",1,0
Baseline,i saw a 2nd attack ad against binay. also talking head and asks binay to explain his multiple bank accounts worth p11b. #2016phvote,1,0
Baseline,"walang schedule ng kampanya kahapon si poe habang nag-ikot sa gingoog, misamis oriental si escudero.",1,0
Baseline,kaya pana ah ???? mar roxas ftw! ????,1,0
Baseline,"paboritong merienda ni binay ang ""eggnog"".",1,0
Baseline,"mar roxas! manalo, matalo inaasahan ko na di ka mawawala. na patuloy ka maglilingkod gaya ng ginagawa mo ngayon.",1,0
Baseline,acting mayor kid peña denies he issued such memos. tells rappler that he'll consult w/hr why binay's employees were recalled to mother units,1,0
Baseline,nag expect ko nga number 2 si poe kang duterte ??,1,0
Baseline,"binay, pag dinala mo sila sa pilipinas madaming boboto sayo promise! [mention] [url]",1,0
Baseline,"""binay appreciation day"" today sa tv patrol",1,0
Baseline,if you don't want to mar roxas to become the president then don't vote for him. no one is forcing you to do it. that's simple!,1,0
Baseline,ewan pero gusto ko talaga magpunta dun sa mga echebureche ni mar roxas para may 500 ako. walang pera? si mar ang solusyon. hahaha ??,1,0
Baseline,"kung may comic book na ""sa gitna ng unos"" ft. mar roxas bakit walang comic book na ""sa gitna ng mga tres"" ft. jejomar binay",1,0
Baseline,"#radyopatrol mga militar at sss pensioner, nag-rally sa mendiola; veto ni pnoy, zero vote umano ang katapat para kay mar roxas",1,0
Baseline,"ang makati ng mga binay: comembo, cembo, tiki tiki tembo, no sa rembo, chari bari, ruchipip, peri pembo!",1,0
Baseline,"""[mention]: poe, roxas, and binay over miriam is heartbreaking &amp;lt;/3""",1,0
Baseline,[mention] i think kasi most duterte supporters are masa. as in those who were supposed to vote for binay probably switched to duterte.,1,0
Baseline,"rt [mention]: nung nakita kong sumayaw si binay, may pag asa papala ako!",1,0
Baseline,"rt [mention]: [mention] thank you, ate binay! ?? god bless x",1,0
Baseline,may scandal si binay ????????,1,0
Baseline,i've had it with this self name calling. and no binay. i won't ever vote you.,1,0
Baseline,"if you knew duterte or binay to be incompetent, base on standards, is it bad to tell the truth? by telling i mean for those who ask.",1,0
Baseline,"""nandyan na binay"" bully rosette. bully ????????",1,0
Baseline,acctncy students: ohhh yeah!!!!!,1,0
Baseline,yung ad nanaman para kay binay!! ????????????,1,0
Baseline,binay ftw hahaha,1,0
Baseline,"73 na pala si binay? if ever na manalo, 79 matatapos termino nya. grabe",1,0
Baseline,"""from 1 to mar roxas, how desperate are you to find love?"" #phvote #halalan2016 #eleksyon2016 #bilangpilipino",1,0
Baseline,"everytime someone says ""errthang"", binay gets a vote.",1,0
Baseline,mar roxas n korina sanchez got enthroned?! wth?!,1,0
Baseline,tingnan mo!… [url],1,0
Baseline,sinong na-lss sa campaign song ni binay ?! kasi ako oo ! only binay hahaha,1,0
Baseline,totoo ba tong tatakbo si erap pag nadisqualified sila poe tsaka binay?,1,0
Baseline,good job! bait mo talaga sa mga senior citizens! #binay2016 #gobinay,1,0
Baseline,oo binay iboboto kita. wait lang tulog lang ako. zzzzz,1,0
Baseline,"ayaw pa din magconcede ni binay no? parang ikaw sakanya, umaasa ka pa din na may mababago kahit wala naman na talaga..",1,0
Baseline,yung puro makati yung narinig mo kay binay sa debate ???? #pilipinasdebates2016,1,0
Baseline,kapani paniwala ba yung kay roxas??? mas naniniwala pa ko sa voters ni binay kesa sa kanya eh,1,0
Baseline,puro naman binay nakikita ko,1,0
Baseline,binay moves !,1,0
Baseline,binay for president!,1,0
Baseline,ftw ang pag ganap ni binay diyan. hahahahaha. [url],1,0
Baseline,claim it binay! wala namang masama sa pangangarap! #pilipinasdebates2016,1,0
Baseline,"for those voting for binay, why does he make a good president despite knowing his character and alleged corruptive ways are in question?",1,0
Baseline,balwarte daw ni binay ang laguna ?? aba! aba. ????,1,0
Baseline,mali nalang ba ni mr. binay ang nakikita niyo ? subukan niyo kayang tignan ung naitulong niya. hindi lahat ng suspicion nila ay totoo .,1,0
Baseline,rt [mention]: don't like binay at all. peace!!! #aldubperformstogether [url],1,0
Baseline,"dahil sa ad ni binay na pandak at nognog, wag po kayong malilito kung sakaling iboboto nyo sya. baka mamaya isulat nyo eh kokey. dapat tama.",1,0
Baseline,duh? most scs have their support for r4e. kay binay ba ang suporta ng masa? wala. learn the difference. #gasc2016 [url],1,0
Baseline,[mention] do you have anything to throw sa mga binay? lintik ha! nakakapagod ka na!,1,0
Baseline,"roxas time! i mean, roxas night market. not the shitty mar roxas.. ??",1,0
Baseline,are we watching the same debate? how can people think and say that duterte or binay are doing well? #pilipinasdebates2016 #phvoteroxas,1,0
Baseline,ako:diba ikaw yung nag-cheat sa exam natin noon?kaya pala si mar roxas iboboto mo.,1,0
Baseline,poe lumayo-layo ka naman kay mar oy. lamangan mo nang matindi-tindi . para kayo nalang ni duterte maglaban ??,1,0
Baseline,"both binay and marcos simply can't believe they've lost. it is almost tragicomic, soon descending into farce.",1,0
Baseline,"i pity mar roxas he really wntd to be president he should have been, but gave up the only chance he had 6 yrs ago. tough luck.",1,0
Baseline,binay at mar roxas matgal na kayong nasa mataas na posisyon edi sana may babago na bkt wala padin??. duterte! tayo guys!,1,0
Baseline,"pulse asia jan '16: binay down in nearly all areas &amp;classes, except ncr &amp; abc, (virtually no movement). double-digit decreases in vismin, e",1,0
Baseline,this is one of those times na hindi kami pareho. emerghed. ??????,1,0
Baseline,"[mention] masyado ka na binulag ng sistema. lagi nlng poe, binay at mar topic mo. di ata kilala si [mention] #miriam2016",1,0
Baseline,"hala. to think na kalayo ng san ignacio from the concert grounds ng ""thanksgiving concert"" ni grace poe ????????",1,0
Baseline,"""[mention]: toni: ""ano ang katangian niyo kung kaya't dapat kayong maging big winner?"" binay: ""nognog, pandak, at laki sa hirap."" lol",1,0
Baseline,[mention] you're the last hope about this alleged cheating of mar roxas in pcos machines :( we the normal people are hopeless about it.,1,0
Baseline,etong binay na to pprituhin ko na eh,1,0
Baseline,tas boboto daw nila du30 lalabas sa resibo ata yun roxas,1,0
Baseline,"overflowing amour propre, mister binay! ?? [url]",1,0
Baseline,"bakit pa sasayangin ang naabot na asenso natin sama-sama, halina't magkaisa sa tuwid na daan hindi ka mag-iisa #roxasrobredo",1,0
Baseline,duterte's probably going to try to bully mar roxas on live tv lmao,1,0
Baseline,"so, daniel padilla endorsing mar roxas. okay. hindi pa ako boboto eh",1,0
Baseline,"i dont like binay but i laud his marketing team. sobrang galing ng branding, targeting and positioning. this is in stark contrast fr roxas'",1,0
Baseline,bakit dahil kay binay nakapag-aral ang makakati.,1,0
Baseline,what if sinasadyang tumakbo si binay para matalo? para maging masaya/kuntento tayo sa kung sino man ang uupo?,1,0
Baseline,"wala kaming picture ni binay, masyadong mahigpit yung bodyguard",1,0
Baseline,thanks cnn philippines for the blow by blow report re mar roxas seeks alliance to poe vs. duterte. — watching cnn philippines,1,0
Baseline,buhay naman ni mar roxas next week sa mmk.,1,0
Baseline,[mention] laki ng galit mo kay binay ah! hmm... do you have any personal relation to binay that made your anger extreme?,1,0
Baseline,but it is sir. how is this not different from binay's? you and your family's credibility is as questionable as his. [url],1,0
Baseline,"if you were paid 40 million pesos to air black propaganda against mar roxas, would you? [mention] ??????",1,0
Baseline,good pm [mention] what is the issue re binay? hoping for ur response. thanks! ???,1,0
Baseline,"wag naman sabihan si binay ng burn, baka seryosohin niya guys, sabihin binubulluy nanaman siya.",1,0
Baseline,[mention] sayang dalawa na kayo pogi ni binay sana huhu tas wala nadin burger lord,1,0
Baseline,tomorrow is not a holiday mar roxas just lost millions of votes.,1,0
Baseline,puro si binay,1,0
Baseline,"""nog nog pa rin"" tas binay's face.. campaign ba yun or pambabash im so confused?????¿?",1,0
Baseline,"""galit ka kay mar roxas kasi mainstream ang ihate siya"" [url]",1,0
Baseline,kung 30k pababa sweldo mo wala ka ng buwis may increase ka pa! binay na! #onlybinaytaxcut #onlybinay [url],1,0
Baseline,at wala pa daw si binay sa bauan tech,1,0
Baseline,"alamat ka talaga binay ???? may sukli yung 22,500 na voucher incash pa ibibigay yung 12k ?????? whoooo #binayforpresident ????",1,0
Baseline,[mention] okey na yon basta wag lang roxas at binay haaha,1,0
Baseline,that binay nognog pandak ad is just too distrubing. it doesn't speak to me properly.,1,0
Baseline,"i'm really hoping voters don't get fooled by binay's left and right allegations. i've no problems w/nognog at pandak, being one myself.",1,0
Baseline,na touch naman ako don sa nognog ni binay na commercial ??,1,0
Baseline,di ko kinaya yung mukha ni binay :( [url],1,0
Baseline,[mention] ang bigat nga nung bagsak nung tv ad ni binay galing eh. i haven't! solid ba?,1,0
Baseline,"[mention] nako naman, ikaw nga parang binay eh ??",1,0
Baseline,kung si mar roxas ang ma presidenti ambot nalang jud aning pilipinas,1,0
Baseline,yan si binay.,1,0
Baseline,"mar roxas to mobilize ""software solutions"" to improve public service. #mbhotseat",1,0
Baseline,"bakit puti si poe? dahil, walang bahid ng anumang kasamaan. puro kabutihan lamang. #pilipinasdebates2016",1,0
Baseline,hahaha! chinat ako ni kuya binay!!????,1,0
Baseline,nao-oc-han ako sa grammar ng ad ni binay. -.-,1,0
Baseline,pwede mag separate nalang ang mindanao if manalo si binay? ??,1,0
Baseline,ano tong nababalitaan kong nangunguna na daw si mar roxas? ??,1,0
Baseline,nako nagprotesta mga tacloban laban kay mar roxas tapos si djp ieendorse si mar. tsk #psypagyanig,1,0
Baseline,hahaha bat tawang tawa ako sa commercial ni binay :((,1,0
Baseline,i don't know grace poe ??????,1,0
Baseline,[mention] heyheyyow. mag s'submit ka kay binay? ??,1,0
Baseline,"have you seen rappler's apology, non-apology to mar roxas? [url]",1,0
Baseline,binay nanaman pala bukas,1,0
Baseline,binay or poe? just not duterte. #voteextrawisely #elections2016,1,0
Baseline,[mention] laki ng galit kay binay. ??,1,0
Baseline,"si mar roxas ang magpapatuloy, magpupuno, magtatama ng nasimulan ng daang matuwid. sinsero, dedikado. di tayo dadramahan, di tayo nanakawan.",1,0
Baseline,"di naman magsasayang ng pera pampaprint si cayetano para i-woo si duterte na tumakbo. at saka duh, planado na yan. si pia in favor kay poe e",1,0
Baseline,"hala ka? #rp69fanfic starring sandro marcos, sebastian duterte, paolo roxas, junjun binay. ihabol daw si luis hontiveros at jake ejercito.",1,0
Baseline,"si binay puro ""ha"" si mar, napansin ko puro may word na ""alam mo.."" #wantedpresident [url]",1,0
Baseline,basta ewan ko na lang pag si binay pa banda huli ang manalo dyan ??,1,0
Baseline,binay's true color seen on the debate yesterday #pilipinasdebates2016,1,0
Baseline,hi binay kumusta ka na dyan sa ub...,1,0
Baseline,mar roxas pag si danilo dinala mo sa roxas ngayon halaran naku iboboto na kita tas pakainin mo sa bahay namin hahahahahaha ????,1,0
Baseline,binay/roxas face swap result. wtf ?????? [url],1,0
Baseline,wala ng lulubog na bayan lahat aangat kay binay #onlybinaymagaangatsatacloban,1,0
Baseline,"binay said he doesn't want to be called ""nognog"" anymore but he used it on his ad. ano ba? haha",1,0
Baseline,yung matatawa ka nalang sa advertisement ni binay at roxas. wag kami uyyyy! #votewisely #election2016,1,0
Baseline,"binay, please wag puro makati. you are the incumbent vp for god's sake!",1,0
Baseline,"* kung hindi ka taga makati , hindi mo pwedeng husgahan ang mga #binay ?",1,0
Baseline,sana lahat ng nagpapicture kay binay ay iboto siya.??,1,0
Baseline,[mention] now mar roxas buying all the dance kids finals ads! hahaha,1,0
Baseline,memorize na ng kapatid ko commercial ni binay ??,1,0
Baseline,"pag ako naging architect/lawyer, magtago ka na binay. uunahin ko lahi mo.",1,0
Baseline,yan si binay...,1,0
Baseline,hahahaah! galit ka kay binay ha!!!! :ppp [mention] haahahaha [url],1,0
Baseline,[mention] hahahaha. cute mo dyan binay. hahaha,1,0
Baseline,"dear mar roxas, you fought well sir. i still believe in you, your voice means a lot to us. do not get tired of serving our country.",1,0
Baseline,[mention] kahit dinamin or natin nakita binayaran sya. alam mo at alam natin lahat binayaran ang kathniel para kay mar roxas :),1,0
Baseline,sino get presidentiable ang makakabasa nito !! binay ? roxas ? poe ? nakupo. #dutertesolid [url],1,0
Baseline,"rt [mention]: nognog, pandak , laki sa hirap at di tulad ng iba marami na nagawa. binay memes incoming! ??????",1,0
Baseline,"binay, who's tagged as a thief and the most corrupt of them all, is doing better by ignoring everything. sad, really.",1,0
Baseline,basta ewan ko na lng pag di binay pa banda huli ang manalo dyan ??,1,0
Baseline,dragging mayor duterte down by using that anti-duterte ad is just a proof that mayor duterte is on top. duterte till the end ??,1,0
Baseline,hala na hulog log log,1,0
Baseline,communicating it well - advertising 101. something the mar roxas campaign needs to learn fast! [url],1,0
Baseline,i think presidente duterte's rape joke won't bring down #phvoteduterte ratings that much! worst is back to 29%. hirap din si #phvotepoe!,1,0
Baseline,"mar roxas is like the most hated person on social media right now. well, next to kathniel. *cringe*",1,0
Baseline,"omg, aldub. don't you dare endorse binay. ??",1,0
Baseline,"mar roxas yesterday, mar roxas again tonight!",1,0
Baseline,hala ka mar roxas slowly creeping in. ayan na siya [mention],1,0
Baseline,#aldublovelock the bias t.v network award goes too!?!!!?,1,0
Baseline,[mention] malamang si binay! malakas yun e! haha! #aldubebtamangpanahon,1,0
Baseline,ngayon ko lang nakita tong si binay ngumiti ng ganito ulet ha hmm?,1,0
Baseline,"si binay yung gustung-gusto mo pa rin ipaglaban kahit gaano pa kasama tingin ng ibang tao sa kanya. wala lang, feeling mo kasi siya na e ??",1,0
Baseline,anong meron kay binay ? ????,1,0
Baseline,kabahan na roxas at trillanes #eleksyon2016,1,0
Baseline,si binay ayaw pa mag concede! pakigising nga.,1,0
Baseline,a vote for duterte is a vote against binay. but i refuse to believe we're that desperate to put all of our eggs in his basket.,1,0
Baseline,#tvpatrol is mar roxas'? how come? a feature news this long in #primetime should be very expensive.,1,0
Baseline,gg na mar roxas.,1,0
Baseline,"but don't get me wrong, i considered poe and duterte parin pero wala eh, #miriam2016 talaga mga momshie.",1,0
Baseline,no matter what my heart roots for you mar roxas!!,1,0
Baseline,"[mention] 2 pa ako. kay binay at kay algeb. ayun nga, nagyuyugyugan pa atm. hays :'(",1,0
Baseline,maypag mag barangay tanod ka mar roxas bagay pa kaayo,1,0
Baseline,anybody but binay!,1,0
Baseline,sa tv lang kita nakikita mar roxas pero sinasampal kita ?? #dutertetilltheend,1,0
Baseline,[mention] *binay's commercial* hahahaha,1,0
Baseline,[mention] yan si binay! hahahahahahah.,1,0
Baseline,nognog pandak laki sa hirap yan si [mention] binay ????,1,0
Baseline,dami ata commercial nung binay,1,0
Baseline,si gloc 9 galit na galit sa mga nakaupo pero si binay yung nirerepresent niya #labo,1,0
Baseline,yung tv ad ni mar roxas mas madalas pa sa commercial ng aldub e.,1,0
Baseline,nognog. pandak. laki sa hirap! binay tayo ha! ;),1,0
Baseline,pero binay parin akol go binay. naks.,1,0
Baseline,"ang totoo, kaya hindi nanguna sa bilang si mar roxas, ayaw ng mga pilipino people maging first lady si korina sanchez. hahaha",1,0
Baseline,"[mention] yeaaaahhh, sinasabihan nila ko, magmove on na daw ako dun sa ad ni binay, pano ako magmomove on sa bagay na nagpapasaya sakin?",1,0
Baseline,si trillanes kala mo si roxas.,1,0
Baseline,"nagsasagutan pa si binay and roxas, walang mananalo sa inyong dalawa uyyyy hahahahahahaha",1,0
Baseline,#otwoltoogood,1,0
Baseline,siraan nyo na si mar roxas pero wag nyo na idamay si cong. leni robredo. si mar nalang!,1,0
Baseline,#halalanresults #election2016 #dayaangdilaw,1,0
Baseline,sayang ka talaga grace poe ?? pero mas kailangan namin ng pres na may tapang at kayang lumaban para sa bayan ????,1,0
Baseline,pag ako binay hindi mo natulungan sa taong mahal ko eh,1,0
Baseline,grabe yung pagkakalagay ng ash kay binay. ??????,1,0
Baseline,rt [mention]: [mention] thanks binay super enjoy ako and thanks sa kuya mo na sobrang mabait grabe a uulitin hehehhe,1,0
Baseline,roxas-robredo sa may 9! diretso lang! walang liliko! daang matuwid pa rin!,1,0
Baseline,"""[mention]: binay camp questions mrt deal for mar campaign donor [url] connect connect lng mga bitter.",1,0
Baseline,wahahaha ung commercial ni binay... #otwolhappytimes,1,0
Baseline,pag nanalo si mar roxas sisinghot ako ng tsinelas.,1,0
Baseline,"frnd: ano ba mga gusto mo sa lalaki pau? me: nognog. pandak. laki sa hirap. at di tulad ng iba, maraming nagawa. hahaha binay fan here ????",1,0
Baseline,"after all of those alienating strategies against poe, roxas and duterte, now they are calling for unity? really now?",1,0
Baseline,nako si mar roxas pala ang iblock voting ng mga ano. haysss,1,0
Baseline,sabi nila madadaya daw yan ni mar roxas. kasi pangsecond daw siya. #halalanresults,1,0
Baseline,rt [mention]: what if may sariling christmas station id si binay?,1,0
Baseline,"dear #marroxas, wala kameng pakialam kung anong suot mo sa bahay. di kame uunlad dyan. mas ""tattered"" ba yan kesa sa suot ko? #phvote",1,0
Baseline,binay camp downplays senate report about partial investigation on corruption allegations against binay and his son. …,1,0
Baseline,"sa tingin mo, kapag nanalo si mar roxas, maitutuloy ba niya ang tuwid na daan? if yes, anu-ano ang mga itutuloy niya?",1,0
Baseline,mar roxas umayos ka nga,1,0
Baseline,"botohin daw si binay kasi pandak, nognog at laki sa hirap... i seriously don't get it",1,0
Baseline,tumaas nanaman ang kay binay ??,1,0
Baseline,i find the binay photo with his whole face photoshopped with ash demeaning toward people who are dark-skinned.,1,0
Baseline,"""[mention]: filipinos want binay to answer corruption allegations - sws poll [url] [url]",1,0
Baseline,natatawa si mama sa tvc ni binay. haha,1,0
Baseline,"sabi ni mar roxas, trabaho lang daw, wala syang drama. aba, eh wala ka rin namang boto! hehe. #abscbnfail",1,0
Baseline,cynthia patag takes another shot at binay via facebook - the dailypedia [url],1,0
Baseline,"i was truly amazed! mayor binay has his last card ""aguinaldo doctrine of 1959"" to effectively extinguished their past wrongdoings.omg!",1,0
